Vaqt                 | Harorat (°C) | Namlik (%) | Bosim (mm)
-------------------------------------------------------------
12.12.2025 12:51:18  |   21.78        |  59.0       |  763.7
12.12.2025 12:52:38 | 28.07 | 60.7 | 745.6
12.12.2025 12:52:40 | 26.72 | 54.5 | 750.7
12.12.2025 12:52:42 | 29.02 | 63.0 | 758.5
12.12.2025 12:52:44 | 27.27 | 45.2 | 752.9
12.12.2025 12:52:46 | 30.37 | 51.5 | 747.7
12.12.2025 12:52:48 | 30.08 | 47.4 | 759.6
12.12.2025 12:52:50 | 29.65 | 45.0 | 764.9
12.12.2025 12:52:52 | 30.38 | 60.1 | 754.9
12.12.2025 12:52:55 | 20.89 | 55.5 | 753.2
12.12.2025 12:52:57 | 23.95 | 54.6 | 771.7
12.12.2025 12:52:59 | 20.97 | 39.4 | 775.1
12.12.2025 12:53:01 | 22.61 | 35.5 | 754.8
12.12.2025 12:53:03 | 21.35 | 45.3 | 777.7
12.12.2025 12:53:05 | 25.51 | 55.2 | 759.7
12.12.2025 12:53:07 | 31.46 | 58.3 | 743.7
12.12.2025 12:53:09 | 28.12 | 43.8 | 752.5
12.12.2025 12:53:11 | 31.59 | 36.7 | 771.8
12.12.2025 12:53:13 | 20.77 | 54.9 | 746.2
12.12.2025 12:53:15 | 29.73 | 35.5 | 769.5
12.12.2025 12:53:17 | 31.86 | 44.8 | 759.8
12.12.2025 12:53:19 | 24.28 | 64.3 | 787.5
12.12.2025 12:53:21 | 29.80 | 51.5 | 773.1
12.12.2025 12:53:23 | 21.07 | 62.5 | 783.4
12.12.2025 12:53:25 | 31.90 | 44.8 | 781.1
12.12.2025 12:53:27 | 24.05 | 60.8 | 786.4
12.12.2025 12:53:29 | 21.60 | 49.8 | 780.8
12.12.2025 12:53:31 | 28.42 | 41.1 | 772.3
12.12.2025 12:53:33 | 29.25 | 63.0 | 779.1
12.12.2025 12:53:35 | 27.25 | 53.6 | 755.6
12.12.2025 12:53:37 | 22.15 | 48.0 | 774.2
12.12.2025 12:53:39 | 20.05 | 41.7 | 760.8
12.12.2025 12:53:41 | 30.07 | 42.0 | 764.1
12.12.2025 12:53:43 | 31.59 | 57.8 | 763.4
12.12.2025 12:53:45 | 25.95 | 49.0 | 761.7
12.12.2025 12:53:47 | 20.20 | 54.8 | 781.5
12.12.2025 12:53:50 | 29.95 | 36.5 | 749.6
12.12.2025 12:53:52 | 30.21 | 39.5 | 751.4
12.12.2025 12:53:54 | 27.29 | 38.2 | 770.8
12.12.2025 12:53:56 | 29.21 | 60.3 | 773.4
12.12.2025 12:53:58 | 27.23 | 36.9 | 755.3
12.12.2025 12:54:00 | 31.55 | 38.5 | 755.1
12.12.2025 12:54:02 | 31.68 | 55.9 | 760.9
12.12.2025 12:54:04 | 23.31 | 53.7 | 774.4
12.12.2025 12:54:06 | 21.00 | 37.1 | 778.9
12.12.2025 12:54:08 | 27.96 | 52.3 | 750.1
12.12.2025 12:54:10 | 25.00 | 35.3 | 750.1
12.12.2025 12:54:12 | 28.75 | 37.0 | 777.1
12.12.2025 12:54:14 | 26.21 | 51.7 | 769.3
12.12.2025 12:54:16 | 30.79 | 45.1 | 782.5
12.12.2025 12:54:18 | 27.86 | 62.4 | 785.9
12.12.2025 12:54:20 | 22.31 | 53.3 | 770.1
12.12.2025 12:54:22 | 21.62 | 60.4 | 750.8
12.12.2025 12:54:24 | 27.69 | 36.2 | 742.8
12.12.2025 12:54:26 | 23.23 | 61.0 | 745.3
12.12.2025 12:54:28 | 23.45 | 48.6 | 778.4
12.12.2025 12:54:30 | 20.51 | 44.1 | 755.5
12.12.2025 12:54:32 | 20.05 | 46.2 | 760.9
12.12.2025 12:54:34 | 28.11 | 53.1 | 755.2
12.12.2025 12:54:36 | 25.98 | 40.3 | 758.1
12.12.2025 12:54:38 | 29.87 | 57.4 | 774.8
12.12.2025 12:54:41 | 25.12 | 41.6 | 769.0
12.12.2025 12:54:43 | 23.04 | 36.1 | 757.8
12.12.2025 12:54:45 | 20.45 | 42.4 | 743.3
12.12.2025 12:54:47 | 23.46 | 59.4 | 749.4
12.12.2025 12:54:49 | 27.50 | 42.7 | 772.8
12.12.2025 12:54:51 | 24.39 | 42.0 | 758.2
12.12.2025 12:54:53 | 26.63 | 42.9 | 784.1
12.12.2025 12:54:55 | 27.39 | 39.4 | 750.1
12.12.2025 12:54:57 | 24.22 | 49.3 | 756.0
12.12.2025 12:54:59 | 25.88 | 35.8 | 750.9
12.12.2025 12:55:01 | 22.83 | 61.0 | 760.6
12.12.2025 12:55:03 | 29.80 | 50.8 | 778.8
12.12.2025 12:55:05 | 21.00 | 38.5 | 778.5
12.12.2025 12:55:07 | 29.92 | 52.0 | 776.5
12.12.2025 12:55:09 | 25.14 | 59.1 | 762.3
12.12.2025 12:55:11 | 26.27 | 58.4 | 753.4
12.12.2025 12:55:13 | 20.81 | 49.5 | 745.5
12.12.2025 12:55:15 | 24.55 | 38.7 | 764.7
12.12.2025 12:55:17 | 24.57 | 60.3 | 764.4
12.12.2025 12:55:19 | 26.29 | 46.4 | 768.8
12.12.2025 12:55:21 | 29.49 | 36.9 | 762.9
12.12.2025 12:55:23 | 24.08 | 59.8 | 751.5
12.12.2025 12:55:25 | 24.27 | 49.6 | 768.9
12.12.2025 12:55:27 | 28.46 | 43.8 | 762.1
12.12.2025 12:55:29 | 24.60 | 37.6 | 751.9
